,FP,Tweet
31,positive,Out shopping this weekend and love the #Selfie moose ðŸ˜ #Kohls #KCMO
120,neutral,Never ordering from â€ website again Never been so stressed ordering things from a site.
184,neutral,Menâ€™s Urban Pipeline Relaxed Bootcut Jeans Only $6.36 (reg $36) #kohls #kohlsdeals
310,neutral,Join us December 17th Looking forward to connecting 
179,neutral,Hey 1 something on my order was canceled and it took a day for you to notify me (I happened to log in to câ€
290,positive,Give joy get joy at Kohls 
372,negative,"me Nd my friends alwys get accused of stealing by some old white lady named martha who works at kohls cuz we\u2019re weird looking"""
238,neutral,"Going to Target &gt Going to the club"""
154,neutral,Check out 9 KOHLS Plush CHARACTER Lot Blue PARROT Octopus SNOOPY Woodstock Elephant Toys #Kohls via
274,neutral,My kohlscash expired on the 5th! I thought i'd get an app notification but nothing  I have $150 of it C\u2026 
288,neutral,"Lucas Kohls goal 12 into the second and leads Marian 2-1"""
270,positive,Enter to win a $20 #giftcard in this #giveaway 
271,neutral,"i would walk into kohls just to start a fight"""
22,neutral,Your Sanity-Saving Shopping Guide to the Holiday Season #kohls #ad
1,positive,Can't wait to try out my new 16 Color Eyeshadow Palette by Would u believe it's only $10.00 at ?â€
61,positive,Had make an exchange at for a defective button on new jeans I had no receipt and was concerned This was hoâ€
286,neutral,"krisrudo Fancy some under stall \ud83d\udc45??""display_text_range[1743]"
112,positive,Belle Maison Holiday Gift Mugs Over 20 Styles $5.24-$7.74 Free S&amp;H on $25 #kohls
172,neutral,Keep a watchful eye out on your money card was used at #Walgreens two days ago and fraudulent charges appeared tâ€
169,neutral,â€˜Women of NASAâ€ LEGO set (found Kohlâ€™s) #LEGO #WomenOfNASA #NancyGraceRoman #MargaretHamilton #SallyRideâ€
170,positive,New bedding always makes me happy #throwpillows #quilt #purple #floral #kohls
72,neutral,Kohlâ€™s coupons &amp promo codes Save $10 on a $50 purchase plus an extra 25 off
165,neutral,WEAR IT NOW Silvertone Stylized Snowman Earrings-Hook Attachment #Kohls #DropEarrings #dangleearrings #snowmanâ€
82,neutral,Check out NEW-34PC-Christmas-Train-Set-North-Pole-Junction-Xmas-Holiday-Toy-Model-1003442 #Kohls via
66,neutral,Got the option to return an item purchased on #Amazon at a #Kohls brick and mortar.
301,neutral,"u201cSingle looking to jingle\u201d hats comin in clutch"""
